name,description,category,price,quantity,brand
Basmati Rice,Long-grain aromatic white rice (5kg),69b565bb5ab50e22db7f0dfb,15.99,50,Royal
Olive Oil,Extra virgin cold-pressed olive oil (1L),69b565bb5ab50e22db7f0dfb,12.50,30,Bertolli
Sea Salt,Fine grain natural sea salt (500g),69b565bb5ab50e22db7f0dfb,3.25,100,Morton
Black Beans,Canned organic black beans (400g),69b565bb5ab50e22db7f0dfb,1.80,80,Goya
All-Purpose Flour,Premium enriched white flour (2kg),69b565bb5ab50e22db7f0dff,4.50,40,King Arthur
Granulated Sugar,Fine white beet sugar (1kg),69b565bb5ab50e22db7f0dff,2.99,60,Domino
Baking Powder,Double-acting leavening agent (200g),69b565bb5ab50e22db7f0dff,3.50,25,Clabber Girl
Vanilla Extract,Pure Madagascar vanilla bean extract (60ml),69b565bb5ab50e22db7f0dff,18.00,15,McCormick
Dark Chocolate Bar,70% Cocoa single-origin bar (100g),69b565bb5ab50e22db7f0dfd,4.99,45,Lindt
Gummy Bears,Assorted fruit flavored gummies (200g),69b565bb5ab50e22db7f0dfd,2.50,120,Haribo
Potato Chips,Classic salted kettle cooked chips (150g),69b565bb5ab50e22db7f0dfd,3.75,55,Lay's
Roasted Almonds,Lightly salted California almonds (250g),69b565bb5ab50e22db7f0dfd,6.50,35,Blue Diamond
Earl Grey Tea,Bergamot infused black tea bags (50ct),69b565bb5ab50e22db7f0dfc,7.20,40,Twinings
Espresso Roast,Dark roast whole bean coffee (500g),69b565bb5ab50e22db7f0dfc,14.50,20,Starbucks
Sparkling Water,Carbonated natural spring water (1L),69b565bb5ab50e22db7f0dfc,1.99,100,Perrier
Oat Milk,Unsweetened barista blend oat milk (1L),69b565bb5ab50e22db7f0dfc,4.25,50,Oatly
Quinoa,Organic white tri-color quinoa (500g),69b565bb5ab50e22db7f0dfe,7.99,30,Bob's Red Mill
Chia Seeds,Raw organic black chia seeds (300g),69b565bb5ab50e22db7f0dfe,8.50,25,Navitas
Turmeric Powder,Organic ground turmeric root (100g),69b565bb5ab50e22db7f0dfe,5.50,40,Simply Organic
Honey Raw,Unfiltered wildflower honey (450g),69b565bb5ab50e22db7f0dfe,11.00,20,Nature Nate's
Corn Flakes,Classic toasted corn cereal (500g),69b565bb5ab50e22db7f0e00,4.20,45,Kellogg's
Rolled Oats,Old fashioned whole grain oats (1kg),69b565bb5ab50e22db7f0e00,5.99,35,Quaker
Peanut Butter,Creamy roasted peanut spread (500g),69b565bb5ab50e22db7f0e00,4.75,50,Skippy
Maple Syrup,Grade A pure Canadian maple syrup (250ml),69b565bb5ab50e22db7f0e00,12.99,15,Coombs
Soy Sauce,Naturally brewed savory soy sauce (500ml),69b565bb5ab50e22db7f0e01,5.50,40,Kikkoman
Coconut Milk,Full fat canned coconut milk (400ml),69b565bb5ab50e22db7f0e01,3.25,60,Thai Kitchen
Pasta Penne,Durum wheat semolina pasta (500g),69b565bb5ab50e22db7f0e01,2.40,75,Barilla
Sriracha Sauce,Hot chili sauce with garlic (480ml),69b565bb5ab50e22db7f0e02,6.50,30,Huy Fong
Black Pepper,Whole peppercorns grinder refill (100g),69b565bb5ab50e22db7f0e02,4.99,50,McCormick
Dijon Mustard,Authentic French smooth mustard (200g),69b565bb5ab50e22db7f0e02,3.80,45,Grey Poupon
Cinnamon Ground,Aromatic Ceylon cinnamon (50g),69b565bb5ab50e22db7f0e02,4.25,50,Badia
Red Lentils,Split red lentils for soups (1kg),69b565bb5ab50e22db7f0dfb,4.99,40,Goya
Green Tea,Japanese Sencha tea bags (20ct),69b565bb5ab50e22db7f0dfc,5.50,60,Ito En
Apple Juice,100% pure pressed apple juice (2L),69b565bb5ab50e22db7f0dfc,4.99,40,Mott's
Pretzels,Oven-baked mini salt pretzels (300g),69b565bb5ab50e22db7f0dfd,3.20,65,Snyder's
Milk Chocolate,Swiss milk chocolate bar (100g),69b565bb5ab50e22db7f0dfd,3.50,80,Toblerone
Spelt Flour,Stone ground organic spelt flour (1kg),69b565bb5ab50e22db7f0dfe,8.99,15,Arrowhead Mills
Granola,Honey almond protein granola (400g),69b565bb5ab50e22db7f0e00,6.75,25,Kind
Strawberry Jam,Fruit preserve with real chunks (340g),69b565bb5ab50e22db7f0e00,4.50,30,Bonne Maman
Miso Paste,Fermented organic soybean paste (300g),69b565bb5ab50e22db7f0e01,9.50,20,Hikari
Curry Powder,Mild Madras spice blend (100g),69b565bb5ab50e22db7f0e02,4.75,40,Sharwood's
Tomato Puree,Double concentrated tomato paste (150g),69b565bb5ab50e22db7f0dff,1.99,90,Mutti
Yeast,Active dry yeast sachets (3x7g),69b565bb5ab50e22db7f0dff,2.25,100,Fleischmann's
Chickpeas,Canned garbanzo beans (400g),69b565bb5ab50e22db7f0dfb,1.75,85,Eden Foods
Matcha Powder,Ceremonial grade green tea powder (30g),69b565bb5ab50e22db7f0dfc,24.99,10,Encha
Rice Crackers,Baked soy glazed rice crackers (150g),69b565bb5ab50e22db7f0dfd,3.99,50,KA-ME
Flax Seeds,Ground golden flaxseed (400g),69b565bb5ab50e22db7f0dfe,6.50,30,Spectrum
Pancake Mix,Buttermilk complete pancake mix (1kg),69b565bb5ab50e22db7f0e00,5.25,40,Aunt Jemima
Balsamic Vinegar,Modena balsamic vinegar (250ml),69b565bb5ab50e22db7f0e02,14.00,20,Colavita
Couscous,Quick cook Moroccan style (500g),69b565bb5ab50e22db7f0e01,4.50,35,Near East
